ABA National Championship @ Lakepoint,,,,,,,,,,,
Tuesday,Field 9,Field 10,Field 11,Field 12,Field 13,Field 14,Field 15,Field 16,,,
9:30 AM,ECA @ TNXL -- G1,WSA @ A3 -- G2,WSA @ CPCA -- G1,PDG @ ECA -- G2,P27 Practice,,,,,,
12:15 PM,ECA @ TNXL -- G2,WSA @ A3 -- G1,WB: P27 @ DSC -- G3,WB: W2 @ GPA -- G6,WB: GPA @ FTB -- G3,WB: W2 @ CLUB -- G6,,,,,
3:00 PM,PDG @ GPA -- G3,WB: A3 @ TNXL -- G4,WB: W1 @ Kingsmen G5,,WB: KINGS @ P27 -- G4,WB: W1 @ CPCA G5,,,,,
,,,,,,,,,,,
Wednesday,,,,,,,,,,10 teams,
9:30 AM,LB: L2 vs L3 -- G6,LB: L2 vs L5 -- G7,LB: L1 vs L6 -- G8,WB: W4 vs W6 -- G12,LB: L2 vs L5 -- G7,LB: L1 vs L6 -- G8,,,,Tuesday,6 games
12:15 PM,WB: P27 vs W1 -- G4,WB W2 vs W3 -- G5,LB: W7 vs L3 -- G9,WB: W3 vs W5 -- G11,WB: W4 vs W6 -- G12,LB: W7 vs L3 -- G9,,,,Wed,6 games
3:00 PM,LB: L4 vs W6 -- G8,LB: L1 vs L5 -- G7,LB: W8 vs L4 -- G10,WB: W3 vs W5 -- G11,,LB: W8 vs L4 -- G10,,,,Thu,4 games
,,,,,,,,,,Fri,2-3 games
Thursday,,,,,,,,,,,
11:00 AM,WB: W4 vs W5 -- G9,LB: W7 vs W8 -- G10,LB: W9 vs L12 -- G13,LB: W10 vs L11 -- G14,LB: W9 vs L12 -- G13,LB: W10 vs L11 -- G14,,,,,
1:00 PM,WB: W11 vs W12 -- G15,LB: W10 vs L9 -- G11,LB: W13 vs W14 -- G16,WB: W11 vs W12 -- G15,,LB: W13 vs W14 -- G16,,,,,
,,,,,,,,,,,
Friday,,,,,,,,,,,
9:30 AM,LB: W16 vs L15 -- G17,Premier Championship (**10am),LB: W16 vs L15 -- G17,,,,,,,,
12:15 PM,Prospect Championship,IF Premier Champ G2 (**1am),Prospect Championship,,,,,,,,
3:00 PM,IF Prospect Championship,,IF Prospect Championship,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Varsity,,,,,,,,,,
,Prospect,,,,,,,,,,
,Premier,,,,,,,,,,